match_info_id,stage_id,stage_name,group,round_label,china_date,china_time,china_datetime,weekday_cn,home_team,away_team,match_status,venue,city,country,source_match_time_raw
5403396,232934,小组赛,A,,2026-06-12,03:00,2026-06-12 03:00:00,星期五,墨西哥,南非,3,墨西哥城体育场,,,1781204400000
5403397,232934,小组赛,A,,2026-06-12,10:00,2026-06-12 10:00:00,星期五,韩国,捷克,3,瓜达拉哈拉体育场,,,1781229600000
5403398,232934,小组赛,B,,2026-06-13,03:00,2026-06-13 03:00:00,星期六,加拿大,波黑,1,多伦多体育场,,,1781290800000
5403399,232934,小组赛,D,,2026-06-13,09:00,2026-06-13 09:00:00,星期六,美国,巴拉圭,1,洛杉矶体育场,,,1781312400000
5403400,232934,小组赛,B,,2026-06-14,03:00,2026-06-14 03:00:00,星期日,卡塔尔,瑞士,1,旧金山湾区体育场,,,1781377200000
5403401,232934,小组赛,C,,2026-06-14,06:00,2026-06-14 06:00:00,星期日,巴西,摩洛哥,1,纽约/新泽西体育场,,,1781388000000
5403402,232934,小组赛,C,,2026-06-14,09:00,2026-06-14 09:00:00,星期日,海地,苏格兰,1,波士顿体育场,,,1781398800000
5403403,232934,小组赛,D,,2026-06-14,12:00,2026-06-14 12:00:00,星期日,澳大利亚,土耳其,1,不列颠哥伦比亚广场,,,1781409600000
5403404,232934,小组赛,E,,2026-06-15,01:00,2026-06-15 01:00:00,星期一,德国,库拉索,1,休斯顿体育场,,,1781456400000
5403405,232934,小组赛,F,,2026-06-15,04:00,2026-06-15 04:00:00,星期一,荷兰,日本,1,达拉斯体育场,,,1781467200000
5403406,232934,小组赛,E,,2026-06-15,07:00,2026-06-15 07:00:00,星期一,科特迪瓦,厄瓜多尔,1,费城体育场,,,1781478000000
5403407,232934,小组赛,F,,2026-06-15,10:00,2026-06-15 10:00:00,星期一,瑞典,突尼斯,1,蒙特雷体育场,,,1781488800000
5403408,232934,小组赛,H,,2026-06-16,00:00,2026-06-16 00:00:00,星期二,西班牙,佛得角,1,亚特兰大体育场,,,1781539200000
